tipo_modelo,variable_objetivo,modelo,hiperparametros,MAE,RMSE,R2
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",4.555947069314771,6.190764485769716,0.7107849806323001
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}",4.151990989733865,5.786570153906945,0.7473177571647416
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",4.676531729417154,6.254150539187628,0.7048322267690033
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200}",3.3228474491691045,4.778136473745931,0.8277142421395407
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 300}",2.936102374952116,4.370919952244448,0.855828975793917
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 100}",4.439718528842056,6.048129497278915,0.7239584607989187
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 200}",3.08896745209949,4.622845045632964,0.8387309786014956
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 15, 'n_estimators': 300}",2.7387950463586392,4.289593196800975,0.8611440502100843
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",3.7712364171024113,5.370758675891827,0.7823275050991613
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",3.403599064735713,4.924678248838355,0.8169844461613178
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300}",3.2365892957004867,4.700777108028163,0.833247790907617
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100}",2.739429803775836,4.168609926745981,0.8688661552901829
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200}",2.6346958937130283,4.043873325145176,0.8765965324308059
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 300}",2.59434196043709,3.994243368020837,0.8796069759563747
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 15, 'n_estimators': 100}",2.6287854125237198,4.189371333151152,0.8675567007053554
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 15, 'n_estimators': 200}",2.604179978507351,4.160694430041075,0.8693636851858685
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 15, 'n_estimators': 300}",2.6009369408101373,4.15701009130151,0.869594942415501
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",3.4245303059239536,4.969331339412914,0.8136505188430986
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",3.168695882730522,4.622846647252621,0.83873086685573
regresion_por_separado,NOX,XGBRegressor,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",3.03911797666621,4.450877773348725,0.8505060510736272
